Pioneer Name,Birth,Death,DeathPlace
"A. A. Dodge",1825,1901,"Research Needed"
"Abigail Stowell",1801,1885,"Research Needed"
"Abraham Coon",1819,1886,"Research Needed"
"Addison Ballou",1835,1905,"Research Needed"
"Addison C. Bourdeau",1835,1918,"Battle Creek, Michigan, USA"
"Albert Belden",1828,1905,"Research Needed"
"Albert Lacey",1840,1918,"Research Needed"
"Albert Weekes",1815,1892,"Research Needed"
"Alfred Caviness",1835,1912,"Research Needed"
"Alfred Sloan Hutchins",1847,1922,"Research Needed"
"Alice Mason",1845,1922,"Research Needed"
"Alonzo Trevier Jones",1850,1923,"Battle Creek, Michigan, USA"
"Althea Mason",1850,1920,"Research Needed"
"Amos P. Needham",1805,1879,"Research Needed"
"Andrew Grayson",1842,1915,"Research Needed"
"Angeline Andrews",1808,1889,"Research Needed"
"Anna Maria Rider Everts",1820,1903,"Research Needed"
"Annie Rebekah Smith",1840,1920,"Battle Creek, Michigan, USA"
"Apollos Hale",1798,1878,"Research Needed"
"Arthur Grosvenor Daniells",1858,1936,"Battle Creek, Michigan, USA"
"Arthur Whitefield Spalding",1877,1953,"Washington, D.C., USA"
"Asa Oscar Tait",1828,1906,"Research Needed"
"Augustin C. Bourdeau",1815,1890,"Battle Creek, Michigan, USA"
"Benjamin Franklin Stephenson",1833,1897,"Research Needed"
"Brother Chamberlain",1805,1880,"Research Needed"
"Brother Rhodes",1820,1895,"Research Needed"
"Captain Joseph Bates",1792,1872,"Battle Creek, Michigan, USA"
"Catherine Fenn",1828,1908,"Research Needed"
"Charles Boyd Morris",1836,1912,"Research Needed"
"Charles Fitch",1792,1844,"Carmel, New York, USA"
"Charles Morris",1841,1916,"Research Needed"
"Charles S Longacre",1871,1965,"Research Needed"
"Charles W. Pierce",1830,1908,"Research Needed"
"Clarissa M. Bonfoey",1820,1902,"Research Needed"
"Cornelia Andrews",1815,1895,"Research Needed"
"Cornelia Decker",1848,1918,"Research Needed"
"Cyrenius Smith",1800,1878,"Battle Creek, Michigan, USA"
"Cyrus Farnsworth",1825,1899,"Research Needed"
"Cyrus Reed",1839,1914,"Research Needed"
"Daniel K. Nicola",1838,1908,"Research Needed"
"Daniel R. Palmer",1835,1905,"Research Needed"
"Daniel T. Bourdeau",1835,1905,"Battle Creek, Michigan, USA"
"David Arnold",1830,1900,"Research Needed"
"David Reavis",1840,1920,"Research Needed"
"Delia Steinman White",1835,1912,"Research Needed"
"D.H. Lamson",1825,1902,"Research Needed"
"Dr F B Hahn",,,"Research Needed"
"Dr John Harvey Kellogg",1852,1943,"Battle Creek, Michigan, USA"
"Early Tract Distributors",,,"Research Needed"
"Ebenezer Burdick",1829,1906,"Battle Creek, Michigan, USA"
"Edmund Farnsworth",1829,1906,"Eaton Rapids, Michigan, USA"
"Edward Alexander Sutherland",1865,1955,"Madison, Tennessee, USA"
"Ellen Flayder",1850,1925,"Research Needed"
"Ellen Gould Harmon White",1827,1915,"St. Helena, California, USA"
"Ellet Joseph",1825,1901,"Oroville, California, USA"
"Ellet Joseph Waggoner",1855,1916,"Oroville, California, USA"
"Elmina Hutchins",1844,1920,"Research Needed"
"Elon Everts",1835,1909,"Research Needed"
"Emily Clemons",1818,1892,"Research Needed"
"Emily Hallock",1840,1915,"Research Needed"
"E.P. Wiles",1835,1910,"Research Needed"
"Esther Thorp",1852,1926,"Research Needed"
"Fannie Bolton",1853,1934,"Research Needed"
"Fanny Bolton",1825,1905,"Research Needed"
"Flora Plummer",1848,1923,"Research Needed"
